chsa,chsa_population_census,pha,shelt_rent_n_households,shelt_rent_subsidized_rate,shelt_rent_30plus_rate,shelt_rent_mo_cost_mean,shelt_rent_mo_cost_median,income_total_mean,income_total_median,income_after_tax_mean,income_after_tax_median
Lower Thompson,23293,Interior,1090,11.5,31.2,877,826,42031,30797,35165,27805
100 Mile House,14896,Interior,1015,11.3,40.6,781,780,36335,26634,31370,24767
North Thompson,4191,Interior,345,13,27.5,742,703,39155,29103,33320,27091
West Cariboo,2544,Interior,100,0,19,745,788,31209,20387,27303,19635
Williams Lake/East Cariboo,22706,Interior,2225,13.7,32.2,833,808,43713,34655,37084,31432
Lillooet,4231,Interior,305,15,50,672,669,32589,23933,29017,22870
South Cariboo,6257,Interior,460,11,36.7,679,627,35093,25093,30365,24010
Merritt,10887,Interior,1140,14,43,854,804,39735,27745,34083,25866
Hope,8622,Fraser,855,9.9,43.9,823,766,34412,24930,29989,23414
South Chilliwack,59543,Fraser,3165,5.7,40.6,1131,1007,44510,34543,37566,31181
North Chilliwack,45199,Fraser,5775,11.9,48.8,923,828,37474,28789,32308,26416
Central Abbotsford,25091,Fraser,4950,10.8,45.9,912,850,35910,28162,31126,26095
East Abbotsford,39007,Fraser,1590,3.8,33.2,1177,1025,52340,40255,43478,36013
West Abbotsford,62627,Fraser,6070,9.8,36.2,942,851,32740,25409,28837,23767
Abbotsford Rural,27150,Fraser,2035,4.4,31.7,1018,933,43922,31975,37218,29223
South Mission,27987,Fraser,2475,14.4,44.1,973,850,40082,32209,34242,29195
North Mission,18131,Fraser,935,5.9,35.3,1086,1032,41918,31799,35515,29026
Agassiz/Harrison,10497,Fraser,640,14,44.5,882,803,36016,27613,31415,25834
Fairview,33271,Vancouver Coastal,11205,9.5,40.5,1342,1260,61743,46975,49829,40848
Downtown Eastside,20798,Vancouver Coastal,8070,54.7,53.6,787,502,35112,18458,29602,18292
Northeast False Creek,14223,Vancouver Coastal,3230,6,48.3,1859,1769,60108,43147,47762,37994
Grandview-Woodland,28786,Vancouver Coastal,9580,22.3,42.4,1041,989,42896,32438,36036,28951
Cedar Cottage,18327,Vancouver Coastal,3570,16.2,35.2,1149,1039,40535,29641,34451,27373
